bin.chrom	bin.start	bin.start.abspos	bin.end	bin.length	mappable.positions	gc.content	chrom.numeric	chrom	chrompos	abspos
1	18925640	18925640	19452724	527084	498371	0.505947819	1	1	18925640	18925640
1	19452724	19452724	20014359	561635	498370	0.473789917	1	1	19452724	19452724
1	20014359	20014359	20575804	561445	498371	0.460768196	1	1	20014359	20014359
1	20575804	20575804	21126184	550380	498370	0.487844762	1	1	20575804	20575804
1	21126184	21126184	21698064	571880	498370	0.43168322	1	1	21126184	21126184
1	21698064	21698064	22303596	605532	498371	0.499757238	1	1	21698064	21698064
1	22303596	22303596	22867590	563994	498370	0.479733827	1	1	22303596	22303596
1	22867590	22867590	23407094	539504	498370	0.496656188	1	1	22867590	22867590
1	23407094	23407094	23983067	575973	498371	0.465973231	1	1	23407094	23407094
1	23983067	23983067	24666387	683320	498370	0.472032137	1	1	23983067	23983067
1	24666387	24666387	25238653	572266	498370	0.453404536	1	1	24666387	24666387
1	25238653	25238653	25879931	641278	498371	0.477402936	1	1	25238653	25238653
1	25879931	25879931	26437154	557223	498370	0.488892239	1	1	25879931	25879931
1	26437154	26437154	27036861	599707	498371	0.483859618	1	1	26437154	26437154
1	27036861	27036861	27644604	607743	498370	0.486506632	1	1	27036861	27036861
1	27644604	27644604	28228163	583559	498370	0.489847642	1	1	27644604	27644604
1	28228163	28228163	28838239	610076	498371	0.444539697	1	1	28228163	28228163
1	28838239	28838239	29459303	621064	498370	0.457962464	1	1	28838239	28838239
1	29459303	29459303	30152496	693193	498370	0.482301871	1	1	29459303	29459303
1	30152496	30152496	30680350	527854	498371	0.478452375	1	1	30152496	30152496
1	30680350	30680350	31224889	544539	498370	0.482540277	1	1	30680350	30680350
1	31224889	31224889	31802308	577419	498370	0.467828388	1	1	31224889	31224889
1	31802308	31802308	32351708	549400	498371	0.489217328	1	1	31802308	31802308
1	32351708	32351708	32956662	604954	498370	0.469810928	1	1	32351708	32351708
1	32956662	32956662	33562070	605408	498371	0.469399149	1	1	32956662	32956662
1	33562070	33562070	34100961	538891	498370	0.460852009	1	1	33562070	33562070
1	34100961	34100961	34637157	536196	498370	0.453289469	1	1	34100961	34100961
1	34637157	34637157	35170931	533774	498371	0.436694181	1	1	34637157	34637157
1	35170931	35170931	35750993	580062	498370	0.444338709	1	1	35170931	35170931
1	35750993	35750993	36319516	568523	498370	0.427738192	1	1	35750993	35750993
1	36319516	36319516	36900818	581302	498371	0.462596034	1	1	36319516	36319516
1	36900818	36900818	37428485	527667	498370	0.487193628	1	1	36900818	36900818
1	37428485	37428485	37965421	536936	498370	0.476207593	1	1	37428485	37428485
1	37965421	37965421	38542604	577183	498371	0.477791272	1	1	37965421	37965421
1	38542604	38542604	39073178	530574	498370	0.451729636	1	1	38542604	38542604
1	39073178	39073178	39663210	590032	498371	0.447706226	1	1	39073178	39073178
1	39663210	39663210	40254118	590908	498370	0.457372383	1	1	39663210	39663210
1	40254118	40254118	40844200	590082	498370	0.441880959	1	1	40254118	40254118
1	40844200	40844200	41406493	562293	498371	0.454867836	1	1	40844200	40844200
1	41406493	41406493	41955921	549428	498370	0.453200419	1	1	41406493	41406493
1	41955921	41955921	42484024	528103	498370	0.469416004	1	1	41955921	41955921
1	42484024	42484024	43039816	555792	498371	0.40747258	1	1	42484024	42484024
1	43039816	43039816	43613613	573797	498370	0.448254348	1	1	43039816	43039816
1	43613613	43613613	44162975	549362	498370	0.485475879	1	1	43613613	43613613
1	44162975	44162975	44711039	548064	498371	0.463905675	1	1	44162975	44162975
1	44711039	44711039	45259305	548266	498370	0.472854417	1	1	44711039	44711039
1	45259305	45259305	45867098	607793	498371	0.436497294	1	1	45259305	45259305
1	45867098	45867098	46467709	600611	498370	0.42505715	1	1	45867098	45867098
1	46467709	46467709	47042550	574841	498370	0.479245565	1	1	46467709	46467709
1	47042550	47042550	47721010	678460	498371	0.428869793	1	1	47042550	47042550
1	47721010	47721010	48263105	542095	498370	0.465837169	1	1	47721010	47721010
1	48263105	48263105	48815705	552600	498370	0.441380746	1	1	48263105	48263105
1	48815705	48815705	49352965	537260	498371	0.416649295	1	1	48815705	48815705
1	49352965	49352965	49908902	555937	498370	0.386333344	1	1	49352965	49352965
1	49908902	49908902	50497242	588340	498371	0.370367475	1	1	49908902	49908902
1	50497242	50497242	51031169	533927	498370	0.415300219	1	1	50497242	50497242
1	51031169	51031169	51609342	578173	498370	0.38543135	1	1	51031169	51031169
1	51609342	51609342	52183223	573881	498371	0.41613331	1	1	51609342	51609342
1	52183223	52183223	52759680	576457	498370	0.413749855	1	1	52183223	52183223
1	52759680	52759680	53346074	586394	498370	0.427558945	1	1	52759680	52759680
1	53346074	53346074	53889482	543408	498371	0.467845523	1	1	53346074	53346074
1	53889482	53889482	54430856	541374	498370	0.46957002	1	1	53889482	53889482
1	54430856	54430856	54990804	559948	498370	0.484943245	1	1	54430856	54430856
1	54990804	54990804	55556185	565381	498371	0.482379139	1	1	54990804	54990804
1	55556185	55556185	56100409	544224	498370	0.411591551	1	1	55556185	55556185
1	56100409	56100409	56634486	534077	498371	0.394596659	1	1	56100409	56100409
1	56634486	56634486	57176704	542218	498370	0.406659314	1	1	56634486	56634486
1	57176704	57176704	57695026	518322	498370	0.409517636	1	1	57176704	57176704
1	57695026	57695026	58226514	531488	498371	0.403926335	1	1	57695026	57695026
1	58226514	58226514	58765632	539118	498370	0.41047229	1	1	58226514	58226514
1	58765632	58765632	59308504	542872	498370	0.413686836	1	1	58765632	58765632
1	59308504	59308504	59848435	539931	498371	0.417568171	1	1	59308504	59308504
1	59848435	59848435	60402266	553831	498370	0.395562906	1	1	59848435	59848435
1	60402266	60402266	60940681	538415	498370	0.38079734	1	1	60402266	60402266
1	60940681	60940681	61489303	548622	498371	0.395649464	1	1	60940681	60940681
1	61489303	61489303	62016033	526730	498370	0.395861257	1	1	61489303	61489303
1	62016033	62016033	62587363	571330	498371	0.404170969	1	1	62016033	62016033
1	62587363	62587363	63158348	570985	498370	0.414023135	1	1	62587363	62587363
1	63158348	63158348	63709196	550848	498370	0.394535335	1	1	63158348	63158348
1	63709196	63709196	64261621	552425	498371	0.405063131	1	1	63709196	63709196
1	64261621	64261621	64797016	535395	498370	0.406752024	1	1	64261621	64261621
1	64797016	64797016	65336828	539812	498370	0.404685335	1	1	64797016	64797016
1	65336828	65336828	65886461	549633	498371	0.41582838	1	1	65336828	65336828
1	65886461	65886461	66458675	572214	498370	0.375728311	1	1	65886461	65886461
1	66458675	66458675	67007788	549113	498370	0.381879504	1	1	66458675	66458675
1	67007788	67007788	67543866	536078	498371	0.37381687	1	1	67007788	67007788
1	67543866	67543866	68118328	574462	498370	0.414116164	1	1	67543866	67543866
1	68118328	68118328	68652604	534276	498371	0.40659135	1	1	68118328	68118328
1	68652604	68652604	69198180	545576	498370	0.381050486	1	1	68652604	68652604
1	69198180	69198180	69761139	562959	498370	0.375286655	1	1	69198180	69198180
1	69761139	69761139	70298667	537528	498371	0.35863062	1	1	69761139	69761139
1	70298667	70298667	70857892	559225	498370	0.365679288	1	1	70298667	70298667
1	70857892	70857892	71414459	556567	498370	0.381934251	1	1	70857892	70857892
1	71414459	71414459	71952599	538140	498371	0.368751626	1	1	71414459	71414459
1	71952599	71952599	72482897	530298	498370	0.355324742	1	1	71952599	71952599
1	72482897	72482897	73010724	527827	498370	0.345908792	1	1	72482897	72482897
1	73010724	73010724	73550549	539825	498371	0.349292826	1	1	73010724	73010724
1	73550549	73550549	74084658	534109	498370	0.350097078	1	1	73550549	73550549
1	74084658	74084658	74618032	533374	498371	0.353661783	1	1	74084658	74084658
1	74618032	74618032	75149814	531782	498370	0.363989379	1	1	74618032	74618032
1	75149814	75149814	75707449	557635	498370	0.373059439	1	1	75149814	75149814
1	75707449	75707449	76283952	576503	498371	0.379526212	1	1	75707449	75707449
1	76283952	76283952	76828345	544393	498370	0.3882673	1	1	76283952	76283952
1	76828345	76828345	77358985	530640	498370	0.380255917	1	1	76828345	76828345
1	77358985	77358985	77911607	552622	498371	0.380325068	1	1	77358985	77358985
1	77911607	77911607	78474042	562435	498370	0.394520256	1	1	77911607	77911607
1	78474042	78474042	79038727	564685	498370	0.382581439	1	1	78474042	78474042
1	79038727	79038727	79574660	535933	498371	0.358328373	1	1	79038727	79038727
1	79574660	79574660	80118870	544210	498370	0.357339997	1	1	79574660	79574660
1	80118870	80118870	80668353	549483	498371	0.355543302	1	1	80118870	80118870
1	80668353	80668353	81209242	540889	498370	0.348681522	1	1	80668353	80668353
1	81209242	81209242	81743486	534244	498370	0.356885618	1	1	81209242	81209242
1	81743486	81743486	82275838	532352	498371	0.378510835	1	1	81743486	81743486
1	82275838	82275838	82810893	535055	498370	0.362332844	1	1	82275838	82275838
1	82810893	82810893	83333763	522870	498370	0.360240595	1	1	82810893	82810893
1	83333763	83333763	84093613	759850	498371	0.369853261	1	1	83333763	83333763
1	84093613	84093613	84625357	531744	498370	0.376006123	1	1	84093613	84093613
1	84625357	84625357	85163643	538286	498370	0.382781644	1	1	84625357	84625357
1	85163643	85163643	85701220	537577	498371	0.401819646	1	1	85163643	85163643
1	85701220	85701220	86253418	552198	498370	0.395158983	1	1	85701220	85701220
1	86253418	86253418	86825989	572571	498371	0.368511503	1	1	86253418	86253418
1	86825989	86825989	87399574	573585	498370	0.388439377	1	1	86825989	86825989
1	87399574	87399574	87932798	533224	498370	0.399539406	1	1	87399574	87399574
1	87932798	87932798	88459943	527145	498371	0.383588956	1	1	87932798	87932798
1	88459943	88459943	88984401	524458	498370	0.372922141	1	1	88459943	88459943
1	88984401	88984401	89551506	567105	498370	0.384129923	1	1	88984401	88984401
1	89551506	89551506	90127339	575833	498371	0.390394437	1	1	89551506	89551506
1	90127339	90127339	90686520	559181	498370	0.399838335	1	1	90127339	90127339
1	90686520	90686520	91222128	535608	498371	0.384014055	1	1	90686520	90686520
1	91222128	91222128	91805588	583460	498370	0.397828472	1	1	91222128	91222128
1	91805588	91805588	92362972	557384	498370	0.408910195	1	1	91805588	91805588
1	92362972	92362972	92950447	587475	498371	0.39788757	1	1	92362972	92362972
1	92950447	92950447	93535502	585055	498370	0.394926973	1	1	92950447	92950447
1	93535502	93535502	94097510	562008	498370	0.391145678	1	1	93535502	93535502
1	94097510	94097510	94655868	558358	498371	0.432774313	1	1	94097510	94097510
1	94655868	94655868	95207249	551381	498370	0.406301632	1	1	94655868	94655868
1	95207249	95207249	95764038	556789	498370	0.408158207	1	1	95207249	95207249
1	95764038	95764038	96291927	527889	498371	0.383675356	1	1	95764038	95764038
1	96291927	96291927	96833745	541818	498370	0.364949116	1	1	96291927	96291927
1	96833745	96833745	97396062	562317	498371	0.374701458	1	1	96833745	96833745
1	97396062	97396062	97931841	535779	498370	0.364922851	1	1	97396062	97396062
1	97931841	97931841	98450950	519109	498370	0.344665571	1	1	97931841	97931841
1	98450950	98450950	98975392	524442	498371	0.35893197	1	1	98450950	98450950
1	98975392	98975392	99520318	544926	498370	0.369039099	1	1	98975392	98975392
1	99520318	99520318	100075108	554790	498370	0.370134646	1	1	99520318	99520318
1	100075108	100075108	100623332	548224	498371	0.382794259	1	1	100075108	100075108
1	100623332	100623332	101186742	563410	498370	0.389368311	1	1	100623332	100623332
1	101186742	101186742	101730376	543634	498370	0.374562665	1	1	101186742	101186742
1	101730376	101730376	102267823	537447	498371	0.376825994	1	1	101730376	101730376
1	102267823	102267823	102797436	529613	498370	0.349379641	1	1	102267823	102267823
1	102797436	102797436	103357057	559621	498371	0.350941083	1	1	102797436	102797436
1	103357057	103357057	104114997	757940	498370	0.34511258	1	1	103357057	103357057
1	104114997	104114997	104814987	699990	498370	0.351602166	1	1	104114997	104114997
1	104814987	104814987	105370289	555302	498371	0.350587608	1	1	104814987	104814987
1	105370289	105370289	105924571	554282	498370	0.341950487	1	1	105370289	105370289
1	105924571	105924571	106462037	537466	498370	0.345339054	1	1	105924571	105924571
1	106462037	106462037	107006985	544948	498371	0.349664555	1	1	106462037	106462037
1	107006985	107006985	107538366	531381	498370	0.359075691	1	1	107006985	107006985
1	107538366	107538366	108059096	520730	498370	0.375741747	1	1	107538366	107538366
1	108059096	108059096	108594913	535817	498371	0.385706314	1	1	108059096	108059096
1	108594913	108594913	109364959	770046	498370	0.39774507	1	1	108594913	108594913
1	109364959	109364959	109936333	571374	498371	0.443702374	1	1	109364959	109364959
1	109936333	109936333	110508854	572521	498370	0.464770725	1	1	109936333	109936333
1	110508854	110508854	111035660	526806	498370	0.471892879	1	1	110508854	110508854
1	111035660	111035660	111570122	534462	498371	0.413559804	1	1	111035660	111035660
1	111570122	111570122	112127180	557058	498370	0.40561665	1	1	111570122	111570122
1	112127180	112127180	112648925	521745	498370	0.445110159	1	1	112127180	112127180
1	112648925	112648925	113220802	571877	498371	0.418988699	1	1	112648925	112648925
1	113220802	113220802	113825191	604389	498370	0.445683161	1	1	113220802	113220802
1	113825191	113825191	114402025	576834	498370	0.379459255	1	1	113825191	113825191
1	114402025	114402025	114952770	550745	498371	0.433175063	1	1	114402025	114402025
1	114952770	114952770	115516909	564139	498370	0.386792971	1	1	114952770	114952770
1	115516909	115516909	116049576	532667	498371	0.417485972	1	1	115516909	115516909
1	116049576	116049576	116602357	552781	498370	0.411038006	1	1	116049576	116049576
1	116602357	116602357	117128059	525702	498370	0.425322711	1	1	116602357	116602357
1	117128059	117128059	117708896	580837	498371	0.435554209	1	1	117128059	117128059
1	117708896	117708896	118258220	549324	498370	0.411574954	1	1	117708896	117708896
1	118258220	118258220	118799867	541647	498370	0.383899477	1	1	118258220	118258220
1	118799867	118799867	119372896	573029	498371	0.369841666	1	1	118799867	118799867
1	119372896	119372896	119932172	559276	498370	0.408866105	1	1	119372896	119372896
1	119932172	119932172	120500810	568638	498370	0.424487987	1	1	119932172	119932172
1	120500810	120500810	144922932	24422122	498371	0.408059544	1	1	120500810	120500810
1	144922932	144922932	145771584	848652	498370	0.425871853	1	1	144922932	144922932
1	145771584	145771584	147063376	1291792	498371	0.41281074	1	1	145771584	145771584
1	147063376	147063376	149110381	2047005	498370	0.416607114	1	1	147063376	147063376
1	149110381	149110381	150224132	1113751	498370	0.4272278	1	1	149110381	149110381
1	150224132	150224132	150838717	614585	498371	0.439341995	1	1	150224132	150224132
1	150838717	150838717	151442657	603940	498370	0.464435209	1	1	150838717	150838717
1	151442657	151442657	152006354	563697	498370	0.44924667	1	1	151442657	151442657
1	152006354	152006354	152585762	579408	498371	0.413639439	1	1	152006354	152006354
1	152585762	152585762	153144253	558491	498370	0.405274212	1	1	152585762	152585762
1	153144253	153144253	153721256	577003	498370	0.464621501	1	1	153144253	153144253
1	153721256	153721256	154333037	611781	498371	0.460872436	1	1	153721256	153721256
1	154333037	154333037	154893493	560456	498370	0.470427652	1	1	154333037	154333037
1	154893493	154893493	155484434	590941	498371	0.493614422	1	1	154893493	154893493
1	155484434	155484434	156128871	644437	498370	0.46904197	1	1	155484434	155484434
1	156128871	156128871	156698994	570123	498370	0.504364848	1	1	156128871	156128871
1	156698994	156698994	157245705	546711	498371	0.475077326	1	1	156698994	156698994
1	157245705	157245705	157808225	562520	498370	0.40962988	1	1	157245705	157245705
1	157808225	157808225	158383111	574886	498370	0.422454191	1	1	157808225	157808225
1	158383111	158383111	158929835	546724	498371	0.368924723	1	1	158383111	158383111
1	158929835	158929835	159486079	556244	498370	0.389782182	1	1	158929835	158929835
1	159486079	159486079	160040254	554175	498370	0.432632291	1	1	159486079	159486079
1	160040254	160040254	160593333	553079	498371	0.441795837	1	1	160040254	160040254
1	160593333	160593333	161180561	587228	498370	0.453191946	1	1	160593333	160593333
1	161180561	161180561	161898100	717539	498371	0.434345729	1	1	161180561	161180561
1	161898100	161898100	162434716	536616	498370	0.429133682	1	1	161898100	161898100
1	162434716	162434716	163001923	567207	498370	0.400492237	1	1	162434716	162434716
1	163001923	163001923	163533958	532035	498371	0.378659299	1	1	163001923	163001923
1	163533958	163533958	164077562	543604	498370	0.370085577	1	1	163533958	163533958
1	164077562	164077562	164635934	558372	498370	0.390295359	1	1	164077562	164077562
1	164635934	164635934	165168385	532451	498371	0.410178589	1	1	164635934	164635934
1	165168385	165168385	165693626	525241	498370	0.427043966	1	1	165168385	165168385
1	165693626	165693626	166269428	575802	498371	0.422926631	1	1	165693626	165693626
1	166269428	166269428	166840676	571248	498370	0.387688009	1	1	166269428	166269428
1	166840676	166840676	167369833	529157	498370	0.40841754	1	1	166840676	166840676
1	167369833	167369833	167920894	551061	498371	0.433768675	1	1	167369833	167369833
1	167920894	167920894	168470978	550084	498370	0.408833924	1	1	167920894	167920894
1	168470978	168470978	169021130	550152	498370	0.394607309	1	1	168470978	168470978
1	169021130	169021130	169573901	552771	498371	0.378988768	1	1	169021130	169021130
1	169573901	169573901	170134639	560738	498370	0.378617108	1	1	169573901	169573901
1	170134639	170134639	170686607	551968	498370	0.382096426	1	1	170134639	170134639
1	170686607	170686607	171236786	550179	498371	0.379603729	1	1	170686607	170686607
1	171236786	171236786	171813037	576251	498370	0.409951566	1	1	171236786	171236786
1	171813037	171813037	172365466	552429	498371	0.372761024	1	1	171813037	171813037
1	172365466	172365466	172904441	538975	498370	0.38803284	1	1	172365466	172365466
1	172904441	172904441	173476419	571978	498370	0.392824549	1	1	172904441	172904441
1	173476419	173476419	174071246	594827	498371	0.397734131	1	1	173476419	173476419
1	174071246	174071246	174673461	602215	498370	0.374414453	1	1	174071246	174071246
1	174673461	174673461	175236220	562759	498370	0.411835262	1	1	174673461	174673461
1	175236220	175236220	175756542	520322	498371	0.435628322	1	1	175236220	175236220
1	175756542	175756542	176318592	562050	498370	0.38732675	1	1	175756542	175756542
1	176318592	176318592	176851545	532953	498370	0.396016159	1	1	176318592	176318592
1	176851545	176851545	177376481	524936	498371	0.414330509	1	1	176851545	176851545
1	177376481	177376481	177923850	547369	498370	0.403572362	1	1	177376481	177376481
1	177923850	177923850	178475797	551947	498371	0.388618835	1	1	177923850	177923850
1	178475797	178475797	179042816	567019	498370	0.412502932	1	1	178475797	178475797
1	179042816	179042816	179635361	592545	498370	0.405277236	1	1	179042816	179042816
1	179635361	179635361	180186313	550952	498371	0.416894757	1	1	179635361	179635361
1	180186313	180186313	180745307	558994	498370	0.399641141	1	1	180186313	180186313
1	180745307	180745307	181307162	561855	498370	0.439729112	1	1	180745307	180745307
1	181307162	181307162	181825873	518711	498371	0.433169915	1	1	181307162	181307162
1	181825873	181825873	182385372	559499	498370	0.420376086	1	1	181825873	181825873
1	182385372	182385372	182929695	544323	498370	0.414733531	1	1	182385372	182385372
1	182929695	182929695	183477887	548192	498371	0.416667883	1	1	182929695	182929695
1	183477887	183477887	184021090	543203	498370	0.403987091	1	1	183477887	183477887
1	184021090	184021090	184563890	542800	498371	0.399666544	1	1	184021090	184021090
1	184563890	184563890	185114574	550684	498370	0.394480319	1	1	184563890	184563890
1	185114574	185114574	185672951	558377	498370	0.38501944	1	1	185114574	185114574
1	185672951	185672951	186217266	544315	498371	0.364500335	1	1	185672951	185672951
1	186217266	186217266	186771733	554467	498370	0.368766762	1	1	186217266	186217266
1	186771733	186771733	187306354	534621	498370	0.357584158	1	1	186771733	186771733
1	187306354	187306354	187863851	557497	498371	0.361860243	1	1	187306354	187306354
1	187863851	187863851	188388592	524741	498370	0.344409909	1	1	187863851	187863851
1	188388592	188388592	188924834	536242	498370	0.340210204	1	1	188388592	188388592
1	188924834	188924834	189477775	552941	498371	0.340806705	1	1	188924834	188924834
1	189477775	189477775	190007577	529802	498370	0.339772217	1	1	189477775	189477775
1	190007577	190007577	190526136	518559	498371	0.332857013	1	1	190007577	190007577
1	190526136	190526136	191063465	537329	498370	0.340154728	1	1	190526136	190526136
1	191063465	191063465	191597069	533604	498370	0.342589261	1	1	191063465	191063465
1	191597069	191597069	192126376	529307	498371	0.34602603	1	1	191597069	191597069
1	192126376	192126376	192671400	545024	498370	0.355850385	1	1	192126376	192126376
1	192671400	192671400	193209686	538286	498370	0.372729367	1	1	192671400	192671400
1	193209686	193209686	193749109	539423	498371	0.367611318	1	1	193209686	193209686
1	193749109	193749109	194295488	546379	498370	0.353523836	1	1	193749109	193749109
1	194295488	194295488	194831608	536120	498370	0.343341043	1	1	194295488	194295488
1	194831608	194831608	195363758	532150	498371	0.33859626	1	1	194831608	194831608
1	195363758	195363758	195901143	537385	498370	0.34203597	1	1	195363758	195363758
1	195901143	195901143	196436068	534925	498371	0.346745805	1	1	195901143	195901143
1	196436068	196436068	197059186	623118	498370	0.353162643	1	1	196436068	196436068
1	197059186	197059186	197589627	530441	498370	0.355432555	1	1	197059186	197059186
1	197589627	197589627	198141751	552124	498371	0.374973738	1	1	197589627	197589627
1	198141751	198141751	198670535	528784	498370	0.358134891	1	1	198141751	198141751
1	198670535	198670535	199194224	523689	498370	0.354175856	1	1	198670535	198670535
1	199194224	199194224	199737268	543044	498371	0.363318626	1	1	199194224	199194224
1	199737268	199737268	200303053	565785	498370	0.407859876	1	1	199737268	199737268
1	200303053	200303053	200867375	564322	498370	0.406041232	1	1	200303053	200303053
1	200867375	200867375	201400507	533132	498371	0.507936121	1	1	200867375	200867375
1	201400507	201400507	201949533	549026	498370	0.472789995	1	1	201400507	201400507
1	201949533	201949533	202584523	634990	498371	0.459172585	1	1	201949533	201949533
1	202584523	202584523	203140598	556075	498370	0.466489233	1	1	202584523	202584523
1	203140598	203140598	203696988	556390	498370	0.472920074	1	1	203140598	203140598
1	203696988	203696988	204271279	574291	498371	0.461722367	1	1	203696988	203696988
1	204271279	204271279	204806017	534738	498370	0.467268083	1	1	204271279	204271279
1	204806017	204806017	205348127	542110	498370	0.476327683	1	1	204806017	204806017
1	205348127	205348127	205915792	567665	498371	0.467712471	1	1	205348127	205348127
1	205915792	205915792	206941459	1025667	498370	0.448562495	1	1	205915792	205915792
1	206941459	206941459	207480087	538628	498371	0.421066116	1	1	206941459	206941459
1	207480087	207480087	208090090	610003	498370	0.404465224	1	1	207480087	207480087
1	208090090	208090090	208603812	513722	498370	0.448559727	1	1	208090090	208090090
1	208603812	208603812	209136854	533042	498371	0.402525505	1	1	208603812	208603812
1	209136854	209136854	209675409	538555	498370	0.411395308	1	1	209136854	209136854
1	209675409	209675409	210209516	534107	498370	0.424652738	1	1	209675409	209675409
1	210209516	210209516	210753871	544355	498371	0.410768708	1	1	210209516	210209516
1	210753871	210753871	211323557	569686	498370	0.412478102	1	1	210753871	210753871
1	211323557	211323557	211903097	579540	498370	0.433207371	1	1	211323557	211323557
1	211903097	211903097	212462719	559622	498371	0.412835807	1	1	211903097	211903097
1	212462719	212462719	213030587	567868	498370	0.435439222	1	1	212462719	212462719
1	213030587	213030587	213593663	563076	498371	0.410639061	1	1	213030587	213030587
1	213593663	213593663	214127585	533922	498370	0.412824345	1	1	213593663	213593663
1	214127585	214127585	214652073	524488	498370	0.411366895	1	1	214127585	214127585
1	214652073	214652073	215199454	547381	498371	0.392098009	1	1	214652073	214652073
1	215199454	215199454	215740043	540589	498370	0.367671188	1	1	215199454	215199454
1	215740043	215740043	216273765	533722	498370	0.368219785	1	1	215740043	215740043
1	216273765	216273765	216801060	527295	498371	0.360086858	1	1	216273765	216273765
1	216801060	216801060	217315246	514186	498370	0.385381943	1	1	216801060	216801060
1	217315246	217315246	217851577	536331	498370	0.373832577	1	1	217315246	217315246
1	217851577	217851577	218390083	538506	498371	0.370694106	1	1	217851577	217851577
1	218390083	218390083	218933669	543586	498370	0.394232007	1	1	218390083	218390083
1	218933669	218933669	219457932	524263	498371	0.364719616	1	1	218933669	218933669
1	219457932	219457932	220007585	549653	498370	0.389251037	1	1	219457932	219457932
1	220007585	220007585	220582350	574765	498370	0.395648656	1	1	220007585	220007585
1	220582350	220582350	221125133	542783	498371	0.409038234	1	1	220582350	220582350
1	221125133	221125133	221665670	540537	498370	0.383995915	1	1	221125133	221125133
1	221665670	221665670	222196518	530848	498370	0.396825457	1	1	221665670	221665670
1	222196518	222196518	222780181	583663	498371	0.411295559	1	1	222196518	222196518
1	222780181	222780181	223333671	553490	498370	0.405492421	1	1	222780181	222780181
1	223333671	223333671	223962622	628951	498370	0.456313229	1	1	223333671	223333671
1	223962622	223962622	224669215	706593	498371	0.419075762	1	1	223962622	223962622
1	224669215	224669215	225218729	549514	498370	0.421965591	1	1	224669215	224669215
1	225218729	225218729	225798513	579784	498371	0.389974542	1	1	225218729	225218729
1	225798513	225798513	226389464	590951	498370	0.464045242	1	1	225798513	225798513
1	226389464	226389464	226936983	547519	498370	0.463167488	1	1	226389464	226389464
1	226936983	226936983	227492636	555653	498371	0.412010733	1	1	226936983	226936983
1	227492636	227492636	228074772	582136	498370	0.438581362	1	1	227492636	227492636
1	228074772	228074772	228616664	541892	498370	0.530262488	1	1	228074772	228074772
1	228616664	228616664	229205320	588656	498371	0.464446128	1	1	228616664	228616664
1	229205320	229205320	229760926	555606	498370	0.441053552	1	1	229205320	229205320
1	229760926	229760926	230291982	531056	498370	0.435786433	1	1	229760926	229760926
1	230291982	230291982	230833226	541244	498371	0.442449247	1	1	230291982	230291982
1	230833226	230833226	231371288	538062	498370	0.447535786	1	1	230833226	230833226
1	231371288	231371288	231929655	558367	498371	0.413163744	1	1	231371288	231371288
1	231929655	231929655	232482890	553235	498370	0.419320903	1	1	231929655	231929655
1	232482890	232482890	233012405	529515	498370	0.414849438	1	1	232482890	232482890
1	233012405	233012405	233545900	533495	498371	0.409926991	1	1	233012405	233012405
