cell1	cell2	cell3	cell4	cell5	cell6	cell7	cell8	cell9	cell10	cell11	cell12
0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	1.57
0.03	0.03	0.03	0.03	1.4	0.03	0.03	0.03	0.03	0.03	0.03	2.34
0.03	0.03	0.03	0.03	1.73	0.03	0.03	0.03	0.03	0.03	0.03	0.94
0.03	0.03	0.03	0.03	2.19	0.03	0.03	0.03	0.03	0.03	0.03	4.31
0.03	0.03	0.03	0.03	0.95	0.03	0.03	0.03	0.03	0.03	0.03	0.43
0.03	0.03	0.03	0.03	0.31	0.03	0.03	0.03	0.03	0.03	0.03	0.59
0.03	0.03	0.03	0.03	0.12	0.03	0.03	0.03	0.03	0.03	0.03	0.1
0.03	0.03	0.03	0.03	1.3	0.03	0.03	0.03	0.03	0.03	0.03	2.54
0.04	0.04	0.04	0.04	0.23	0.04	0.04	0.04	0.04	0.04	0.04	0.97
0.04	0.04	0.04	0.04	0.75	0.04	0.04	0.04	0.04	0.04	0.04	1.1
0.04	0.04	0.04	0.04	1.22	0.04	0.04	0.04	0.04	0.04	0.04	0.28
0.04	0.04	0.04	0.04	1.13	0.04	0.04	0.04	0.04	0.04	0.04	0.96
0.04	0.04	0.04	0.04	1.14	0.04	0.04	0.04	0.04	0.04	0.04	2.72
0.04	0.04	0.04	0.04	2.77	0.04	0.04	0.04	0.04	0.04	0.04	1.64
0.04	0.04	0.04	0.04	0.4	0.04	0.04	0.04	0.04	0.04	0.04	0.98
0.04	0.04	0.04	0.04	0.78	0.04	0.04	0.04	0.04	0.04	0.04	0.93
0.04	0.04	0.04	0.04	0.47	0.04	0.04	0.04	0.04	0.04	0.04	3.58
0.04	0.04	0.04	0.04	0.18	0.04	0.04	0.04	0.04	0.04	0.04	2.14
0.05	0.05	0.05	0.05	0.59	0.05	0.05	0.05	0.05	0.05	0.05	0.01
0.05	0.05	0.05	0.05	0.53	0.05	0.05	0.05	0.05	0.05	0.05	5.42
0.05	0.05	0.05	0.05	0.52	0.05	0.05	0.05	0.05	0.05	0.05	1.33
0.05	0.05	0.05	0.05	0.24	0.05	0.05	0.05	0.05	0.05	0.05	1.12
0.05	0.05	0.05	0.05	0.19	0.05	0.05	0.05	0.05	0.05	0.05	0.45
0.05	0.05	0.05	0.05	0.15	0.05	0.05	0.05	0.05	0.05	0.05	1.35
0.05	0.05	0.05	0.05	1.17	0.05	0.05	0.05	0.05	0.05	0.05	1.29
0.05	0.05	0.05	0.05	0.5	0.05	0.05	0.05	0.05	0.05	0.05	0.95
0.05	0.05	0.05	0.05	0.08	0.05	0.05	0.05	0.05	0.05	0.05	2.06
0.05	0.05	0.05	0.05	0.09	0.05	0.05	0.05	0.05	0.05	0.05	2.13
0.06	0.06	0.06	0.06	0.1	0.06	0.06	0.06	0.06	0.06	0.06	1.91
0.06	0.06	0.06	0.06	1.39	0.06	0.06	0.06	0.06	0.06	0.06	1.57
0.06	0.06	0.06	0.06	0.81	0.06	0.06	0.06	0.06	0.06	0.06	0.6
0.06	0.06	0.06	0.06	1.36	0.06	0.06	0.06	0.06	0.06	0.06	0.69
0.06	0.06	0.06	0.06	0.39	0.06	0.06	0.06	0.06	0.06	0.06	1.32
0.06	0.06	0.06	0.06	0.99	0.06	0.06	0.06	0.06	0.06	0.06	1.78
0.06	0.06	0.06	0.06	0.73	0.06	0.06	0.06	0.06	0.06	0.06	2.65
0.06	0.06	0.06	0.06	0.73	0.06	0.06	0.06	0.06	0.06	0.06	1.9
0.06	0.06	0.06	0.06	0.59	0.06	0.06	0.06	0.06	0.06	0.06	3.99
0.06	0.06	0.06	0.06	0.94	0.06	0.06	0.06	0.06	0.06	0.06	0.45
0.07	0.07	0.07	0.07	1.3	0.07	0.07	0.07	0.07	0.07	0.07	0.02
0.07	0.07	0.07	0.07	0.21	0.07	0.07	0.07	0.07	0.07	0.07	1.32
0.07	0.07	0.07	0.07	1.34	0.07	0.07	0.07	0.07	0.07	0.07	0.52
0.07	0.07	0.07	0.07	0.71	0.07	0.07	0.07	0.07	0.07	0.07	1.97
0.07	0.07	0.07	0.07	0.34	0.07	0.07	0.07	0.07	0.07	0.07	0.61
0.07	0.07	0.07	0.07	0.12	0.07	0.07	0.07	0.07	0.07	0.07	0.35
0.07	0.07	0.07	0.07	0.06	0.07	0.07	0.07	0.07	0.07	0.07	2.54
0.07	0.07	0.07	0.07	0.46	0.07	0.07	0.07	0.07	0.07	0.07	0.52
0.07	0.07	0.07	0.07	0.09	0.07	0.07	0.07	0.07	0.07	0.07	0.54
0.07	0.07	0.07	0.07	0.79	0.07	0.07	0.07	0.07	0.07	0.07	0.91
0.08	0.08	0.08	0.08	0.39	0.08	0.08	0.08	0.08	0.08	0.08	1.27
0.08	0.08	0.08	0.08	0.04	0.08	0.08	0.08	0.08	0.08	0.08	0.06
0.08	0.08	0.08	0.08	1.43	0.08	0.08	0.08	0.08	0.08	0.08	1.64
0.08	0.08	0.08	0.08	1.63	0.08	0.08	0.08	0.08	0.08	0.08	0.31
0.08	0.08	0.08	0.08	0.54	0.08	0.08	0.08	0.08	0.08	0.08	2.77
0.08	0.08	0.08	0.08	0.83	0.08	0.08	0.08	0.08	0.08	0.08	0.84
0.08	0.08	0.08	0.08	0.34	0.08	0.08	0.08	0.08	0.08	0.08	1.11
0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.54
0.08	0.08	0.08	0.08	0.11	0.08	0.08	0.08	0.08	0.08	0.08	4.44
0.08	0.08	0.08	0.08	0.29	0.08	0.08	0.08	0.08	0.08	0.08	0.08
0.09	0.09	0.09	0.09	1	0.09	0.09	0.09	0.09	0.09	0.09	0.91
0.09	0.09	0.09	0.09	1.75	0.09	0.09	0.09	0.09	0.09	0.09	1.09
0.09	0.09	0.09	0.09	0.95	0.09	0.09	0.09	0.09	0.09	0.09	1.38
0.09	0.09	0.09	0.09	0.01	0.09	0.09	0.09	0.09	0.09	0.09	0.38
0.09	0.09	0.09	0.09	0.28	0.09	0.09	0.09	0.09	0.09	0.09	0.94
0.09	0.09	0.09	0.09	0.62	0.09	0.09	0.09	0.09	0.09	0.09	1.55
0.09	0.09	0.09	0.09	0.66	0.09	0.09	0.09	0.09	0.09	0.09	0.26
0.09	0.09	0.09	0.09	1.96	0.09	0.09	0.09	0.09	0.09	0.09	1.12
0.09	0.09	0.09	0.09	1.32	0.09	0.09	0.09	0.09	0.09	0.09	0.75
0.09	0.09	0.09	0.09	1.81	0.09	0.09	0.09	0.09	0.09	0.09	0.18
0.1	0.1	0.1	0.1	0.34	0.1	0.1	0.1	0.1	0.1	0.1	0.61
0.1	0.1	0.1	0.1	1.75	0.1	0.1	0.1	0.1	0.1	0.1	0.49
0.1	0.1	0.1	0.1	1.76	0.1	0.1	0.1	0.1	0.1	0.1	1.22
0.1	0.1	0.1	0.1	1.33	0.1	0.1	0.1	0.1	0.1	0.1	1.7
0.1	0.1	0.1	0.1	0.96	0.1	0.1	0.1	0.1	0.1	0.1	0.13
0.1	0.1	0.1	0.1	0.42	0.1	0.1	0.1	0.1	0.1	0.1	2.07
0.1	0.1	0.1	0.1	0.22	0.1	0.1	0.1	0.1	0.1	0.1	1.33
0.1	0.1	0.1	0.1	0.9	0.1	0.1	0.1	0.1	0.1	0.1	1.86
0.1	0.1	0.1	0.1	0.83	0.1	0.1	0.1	0.1	0.1	0.1	1.55
0.1	0.1	0.1	0.1	0.13	0.1	0.1	0.1	0.1	0.1	0.1	2.29
0.11	0.11	0.11	0.11	0.31	0.11	0.11	0.11	0.11	0.11	0.11	0.59
0.11	0.11	0.11	0.11	1.21	0.11	0.11	0.11	0.11	0.11	0.11	0.58
0.11	0.11	0.11	0.11	0.01	0.11	0.11	0.11	0.11	0.11	0.11	3.27
0.11	0.11	0.11	0.11	0.42	0.11	0.11	0.11	0.11	0.11	0.11	0.45
0.11	0.11	0.11	0.11	0.45	0.11	0.11	0.11	0.11	0.11	0.11	3.29
0.11	0.11	0.11	0.11	1.12	0.11	0.11	0.11	0.11	0.11	0.11	1.13
0.11	0.11	0.11	0.11	0.32	0.11	0.11	0.11	0.11	0.11	0.11	0.99
0.11	0.11	0.11	0.11	1.53	0.11	0.11	0.11	0.11	0.11	0.11	1.81
0.11	0.11	0.11	0.11	0.32	0.11	0.11	0.11	0.11	0.11	0.11	2.03
0.11	0.11	0.11	0.11	1.54	0.11	0.11	0.11	0.11	0.11	0.11	1.02
0.12	0.12	0.12	0.12	0.75	0.12	0.12	0.12	0.12	0.12	0.12	3.46
0.12	0.12	0.12	0.12	0.98	0.12	0.12	0.12	0.12	0.12	0.12	0.53
0.12	0.12	0.12	0.12	2.12	0.12	0.12	0.12	0.12	0.12	0.12	2.23
0.12	0.12	0.12	0.12	1.56	0.12	0.12	0.12	0.12	0.12	0.12	1.35
0.12	0.12	0.12	0.12	0.71	0.12	0.12	0.12	0.12	0.12	0.12	0.37
0.12	0.12	0.12	0.12	0.92	0.12	0.12	0.12	0.12	0.12	0.12	1.34
0.12	0.12	0.12	0.12	2.07	0.12	0.12	0.12	0.12	0.12	0.12	0.96
0.12	0.12	0.12	0.12	0.18	0.12	0.12	0.12	0.12	0.12	0.12	1.15
0.12	0.12	0.12	0.12	1.92	0.12	0.12	0.12	0.12	0.12	0.12	2.83
0.12	0.12	0.12	0.12	0.94	0.12	0.12	0.12	0.12	0.12	0.12	0.82
0.13	0.13	0.13	0.13	0.98	0.13	0.13	0.13	0.13	0.13	0.13	1.47
0.13	0.13	0.13	0.13	0.26	0.13	0.13	0.13	0.13	0.13	0.13	0.63
0.13	0.13	0.13	0.13	0.87	0.13	0.13	0.13	0.13	0.13	0.13	0.72
0.13	0.13	0.13	0.13	0.72	0.13	0.13	0.13	0.13	0.13	0.13	2.3
0.13	0.13	0.13	0.13	1.86	0.13	0.13	0.13	0.13	0.13	0.13	1.78
0.13	0.13	0.13	0.13	1.68	0.13	0.13	0.13	0.13	0.13	0.13	2.1
0.13	0.13	0.13	0.13	1.43	0.13	0.13	0.13	0.13	0.13	0.13	1.29
0.13	0.13	0.13	0.13	0.07	0.13	0.13	0.13	0.13	0.13	0.13	1.15
0.13	0.13	0.13	0.13	0.59	0.13	0.13	0.13	0.13	0.13	0.13	0.6
0.13	0.13	0.13	0.13	0.5	0.13	0.13	0.13	0.13	0.13	0.13	2.68
0.14	0.14	0.14	0.14	0.21	0.14	0.14	0.14	0.14	0.14	0.14	1.12
0.14	0.14	0.14	0.14	0.72	0.14	0.14	0.14	0.14	0.14	0.14	0.17
0.14	0.14	0.14	0.14	1.6	0.14	0.14	0.14	0.14	0.14	0.14	1.7
0.14	0.14	0.14	0.14	0.68	0.14	0.14	0.14	0.14	0.14	0.14	3.47
0.14	0.14	0.14	0.14	0.28	0.14	0.14	0.14	0.14	0.14	0.14	0.51
0.14	0.14	0.14	0.14	0.54	0.14	0.14	0.14	0.14	0.14	0.14	0.48
0.14	0.14	0.14	0.14	1.44	0.14	0.14	0.14	0.14	0.14	0.14	1.28
0.14	0.14	0.14	0.14	0.06	0.14	0.14	0.14	0.14	0.14	0.14	0.56
0.14	0.14	0.14	0.14	0.67	0.14	0.14	0.14	0.14	0.14	0.14	1.19
0.14	0.14	0.14	0.14	1.31	0.14	0.14	0.14	0.14	0.14	0.14	2.84
0.15	0.15	0.15	0.15	0.34	0.15	0.15	0.15	0.15	0.15	0.15	0.25
0.15	0.15	0.15	0.15	1.58	0.15	0.15	0.15	0.15	0.15	0.15	0.73
0.15	0.15	0.15	0.15	1.03	0.15	0.15	0.15	0.15	0.15	0.15	0.16
0.15	0.15	0.15	0.15	1.06	0.15	0.15	0.15	0.15	0.15	0.15	1.22
0.15	0.15	0.15	0.15	1.36	0.15	0.15	0.15	0.15	0.15	0.15	1.44
0.15	0.15	0.15	0.15	0.61	0.15	0.15	0.15	0.15	0.15	0.15	0.94
0.15	0.15	0.15	0.15	1.78	0.15	0.15	0.15	0.15	0.15	0.15	2.61
0.15	0.15	0.15	0.15	0.21	0.15	0.15	0.15	0.15	0.15	0.15	1.53
0.15	0.15	0.15	0.15	0.36	0.15	0.15	0.15	0.15	0.15	0.15	2.33
0.15	0.15	0.15	0.15	0.3	0.15	0.15	0.15	0.15	0.15	0.15	0.43
0.16	0.16	0.16	0.16	2.55	0.16	0.16	0.16	0.16	0.16	0.16	1.28
0.16	0.16	0.16	0.16	0.2	0.16	0.16	0.16	0.16	0.16	0.16	1.36
0.16	0.16	0.16	0.16	1.96	0.16	0.16	0.16	0.16	0.16	0.16	0.35
0.16	0.16	0.16	0.16	0.42	0.16	0.16	0.16	0.16	0.16	0.16	1
0.16	0.16	0.16	0.16	0.44	0.16	0.16	0.16	0.16	0.16	0.16	0.34
0.16	0.16	0.16	0.16	0.24	0.16	0.16	0.16	0.16	0.16	0.16	1.27
0.16	0.16	0.16	0.16	0.13	0.16	0.16	0.16	0.16	0.16	0.16	1.66
0.16	0.16	0.16	0.16	0.81	0.16	0.16	0.16	0.16	0.16	0.16	3.21
0.16	0.16	0.16	0.16	0.26	0.16	0.16	0.16	0.16	0.16	0.16	0.37
0.16	0.16	0.16	0.16	1.48	0.16	0.16	0.16	0.16	0.16	0.16	0.37
0.17	0.17	0.17	0.17	1.3	0.17	0.17	0.17	0.17	0.17	0.17	0.54
0.17	0.17	0.17	0.17	0.69	0.17	0.17	0.17	0.17	0.17	0.17	0.29
0.17	0.17	0.17	0.17	0.67	0.17	0.17	0.17	0.17	0.17	0.17	2.54
0.17	0.17	0.17	0.17	1.06	0.17	0.17	0.17	0.17	0.17	0.17	0.42
0.17	0.17	0.17	0.17	0	0.17	0.17	0.17	0.17	0.17	0.17	0.28
0.17	0.17	0.17	0.17	0.34	0.17	0.17	0.17	0.17	0.17	0.17	0.6
0.17	0.17	0.17	0.17	1.12	0.17	0.17	0.17	0.17	0.17	0.17	1.46
0.17	0.17	0.17	0.17	1.32	0.17	0.17	0.17	0.17	0.17	0.17	0.62
0.17	0.17	0.17	0.17	0.77	0.17	0.17	0.17	0.17	0.17	0.17	2.62
0.17	0.17	0.17	0.17	0.27	0.17	0.17	0.17	0.17	0.17	0.17	0.94
0.18	0.18	0.18	0.18	0.02	0.18	0.18	0.18	0.18	0.18	0.18	2.28
0.18	0.18	0.18	0.18	1.24	0.18	0.18	0.18	0.18	0.18	0.18	1.37
0.18	0.18	0.18	0.18	1.92	0.18	0.18	0.18	0.18	0.18	0.18	1.05
0.18	0.18	0.18	0.18	0.84	0.18	0.18	0.18	0.18	0.18	0.18	0.68
0.18	0.18	0.18	0.18	0.45	0.18	0.18	0.18	0.18	0.18	0.18	1.43
0.18	0.18	0.18	0.18	0.49	0.18	0.18	0.18	0.18	0.18	0.18	2.81
0.18	0.18	0.18	0.18	1.01	0.18	0.18	0.18	0.18	0.18	0.18	0.15
0.18	0.18	0.18	0.18	1.98	0.18	0.18	0.18	0.18	0.18	0.18	3.03
0.18	0.18	0.18	0.18	0.19	0.18	0.18	0.18	0.18	0.18	0.18	2.72
0.18	0.18	0.18	0.18	1.78	0.18	0.18	0.18	0.18	0.18	0.18	1.96
0.19	0.19	0.19	0.19	0.57	0.19	0.19	0.19	0.19	0.19	0.19	0.75
0.19	0.19	0.19	0.19	0.45	0.19	0.19	0.19	0.19	0.19	0.19	0.86
0.19	0.19	0.19	0.19	0.32	0.19	0.19	0.19	0.19	0.19	0.19	0.26
0.19	0.19	0.19	0.19	1.34	0.19	0.19	0.19	0.19	0.19	0.19	1.46
0.19	0.19	0.19	0.19	1.06	0.19	0.19	0.19	0.19	0.19	0.19	1.26
0.19	0.19	0.19	0.19	0.64	0.19	0.19	0.19	0.19	0.19	0.19	0.3
0.19	0.19	0.19	0.19	1.21	0.19	0.19	0.19	0.19	0.19	0.19	0.22
0.19	0.19	0.19	0.19	0.15	0.19	0.19	0.19	0.19	0.19	0.19	2.5
0.19	0.19	0.19	0.19	0.24	0.19	0.19	0.19	0.19	0.19	0.19	3.59
0.19	0.19	0.19	0.19	0.69	0.19	0.19	0.19	0.19	0.19	0.19	2.06
0.2	0.2	0.2	0.2	0.76	0.2	0.2	0.2	0.2	0.2	0.2	0.83
0.2	0.2	0.2	0.2	0.17	0.2	0.2	0.2	0.2	0.2	0.2	2.57
0.2	0.2	0.2	0.2	1.52	0.2	0.2	0.2	0.2	0.2	0.2	1.18
0.2	0.2	0.2	0.2	2.03	0.2	0.2	0.2	0.2	0.2	0.2	0.57
0.2	0.2	0.2	0.2	1	0.2	0.2	0.2	0.2	0.2	0.2	1.64
0.2	0.2	0.2	0.2	2.07	0.2	0.2	0.2	0.2	0.2	0.2	0.1
0.2	0.2	0.2	0.2	0.47	0.2	0.2	0.2	0.2	0.2	0.2	1.58
0.2	0.2	0.2	0.2	0.71	0.2	0.2	0.2	0.2	0.2	0.2	1.22
0.2	0.2	0.2	0.2	1.02	0.2	0.2	0.2	0.2	0.2	0.2	1.37
0.2	0.2	0.2	0.2	0	0.2	0.2	0.2	0.2	0.2	0.2	0.51
0.21	0.21	0.21	0.21	1.62	0.21	0.21	0.21	0.21	0.21	0.21	1.35
0.21	0.21	0.21	0.21	2.01	0.21	0.21	0.21	0.21	0.21	0.21	3.5
0.21	0.21	0.21	0.21	1.29	0.21	0.21	0.21	0.21	0.21	0.21	0.76
0.21	0.21	0.21	0.21	1.13	0.21	0.21	0.21	0.21	0.21	0.21	3.19
0.21	0.21	0.21	0.21	0.91	0.21	0.21	0.21	0.21	0.21	0.21	0.69
0.21	0.21	0.21	0.21	0.71	0.21	0.21	0.21	0.21	0.21	0.21	0.66
0.21	0.21	0.21	0.21	0.01	0.21	0.21	0.21	0.21	0.21	0.21	1.47
0.21	0.21	0.21	0.21	0.47	0.21	0.21	0.21	0.21	0.21	0.21	1.65
0.21	0.21	0.21	0.21	0.35	0.21	0.21	0.21	0.21	0.21	0.21	0.4
0.21	0.21	0.21	0.21	0.88	0.21	0.21	0.21	0.21	0.21	0.21	0.43
0.22	0.22	0.22	0.22	0.63	0.22	0.22	0.22	0.22	0.22	0.22	4.07
0.22	0.22	0.22	0.22	0.85	0.22	0.22	0.22	0.22	0.22	0.22	1.24
0.22	0.22	0.22	0.22	1.61	0.22	0.22	0.22	0.22	0.22	0.22	0.78
0.22	0.22	0.22	0.22	1.23	0.22	0.22	0.22	0.22	0.22	0.22	0.11
0.22	0.22	0.22	0.22	0.06	0.22	0.22	0.22	0.22	0.22	0.22	0.03
0.22	0.22	0.22	0.22	1.06	0.22	0.22	0.22	0.22	0.22	0.22	1.36
0.22	0.22	0.22	0.22	0.7	0.22	0.22	0.22	0.22	0.22	0.22	0.46
0.22	0.22	0.22	0.22	1.05	0.22	0.22	0.22	0.22	0.22	0.22	1.73
0.22	0.22	0.22	0.22	0.31	0.22	0.22	0.22	0.22	0.22	0.22	1.33
0.22	0.22	0.22	0.22	0.59	0.22	0.22	0.22	0.22	0.22	0.22	0.44
0.23	0.23	0.23	0.23	0.5	0.23	0.23	0.23	0.23	0.23	0.23	3.93
0.23	0.23	0.23	0.23	0.07	0.23	0.23	0.23	0.23	0.23	0.23	2.17
0.23	0.23	0.23	0.23	0.53	0.23	0.23	0.23	0.23	0.23	0.23	2.98
0.23	0.23	0.23	0.23	0.73	0.23	0.23	0.23	0.23	0.23	0.23	2.74
0.23	0.23	0.23	0.23	1.15	0.23	0.23	0.23	0.23	0.23	0.23	0.84
0.23	0.23	0.23	0.23	1.79	0.23	0.23	0.23	0.23	0.23	0.23	0.82
0.23	0.23	0.23	0.23	0.28	0.23	0.23	0.23	0.23	0.23	0.23	1.28
0.23	0.23	0.23	0.23	1.55	0.23	0.23	0.23	0.23	0.23	0.23	0.19
0.23	0.23	0.23	0.23	0.59	0.23	0.23	0.23	0.23	0.23	0.23	0.66
0.23	0.23	0.23	0.23	0.7	0.23	0.23	0.23	0.23	0.23	0.23	2.14
0.24	0.24	0.24	0.24	0.21	0.24	0.24	0.24	0.24	0.24	0.24	0.49
0.24	0.24	0.24	0.24	2.21	0.24	0.24	0.24	0.24	0.24	0.24	1.02
0.24	0.24	0.24	0.24	1.48	0.24	0.24	0.24	0.24	0.24	0.24	1.78
0.24	0.24	0.24	0.24	0.12	0.24	0.24	0.24	0.24	0.24	0.24	0.73
0.24	0.24	0.24	0.24	1.33	0.24	0.24	0.24	0.24	0.24	0.24	0.69
0.24	0.24	0.24	0.24	1.41	0.24	0.24	0.24	0.24	0.24	0.24	1.06
0.24	0.24	0.24	0.24	0.45	0.24	0.24	0.24	0.24	0.24	0.24	1.08
0.24	0.24	0.24	0.24	0.68	0.24	0.24	0.24	0.24	0.24	0.24	1.12
0.24	0.24	0.24	0.24	0.87	0.24	0.24	0.24	0.24	0.24	0.24	2.32
0.24	0.24	0.24	0.24	0.11	0.24	0.24	0.24	0.24	0.24	0.24	3.08
0.25	0.25	0.25	0.25	1.39	0.25	0.25	0.25	0.25	0.25	0.25	3.43
0.25	0.25	0.25	0.25	0.76	0.25	0.25	0.25	0.25	0.25	0.25	0.94
0.25	0.25	0.25	0.25	1.1	0.25	0.25	0.25	0.25	0.25	0.25	0.07
0.25	0.25	0.25	0.25	0.28	0.25	0.25	0.25	0.25	0.25	0.25	0.89
0.25	0.25	0.25	0.25	1.28	0.25	0.25	0.25	0.25	0.25	0.25	0.02
0.25	0.25	0.25	0.25	0.13	0.25	0.25	0.25	0.25	0.25	0.25	2.51
0.25	0.25	0.25	0.25	0.19	0.25	0.25	0.25	0.25	0.25	0.25	1.83
0.25	0.25	0.25	0.25	0.33	0.25	0.25	0.25	0.25	0.25	0.25	3.37
0.25	0.25	0.25	0.25	1.08	0.25	0.25	0.25	0.25	0.25	0.25	0.75
0.25	0.25	0.25	0.25	1.01	0.25	0.25	0.25	0.25	0.25	0.25	0.46
0.26	0.26	0.26	0.26	0.47	0.26	0.26	0.26	0.26	0.26	0.26	1.29
0.26	0.26	0.26	0.26	0.15	0.26	0.26	0.26	0.26	0.26	0.26	2.4
0.26	0.26	0.26	0.26	1.96	0.26	0.26	0.26	0.26	0.26	0.26	3.39
0.26	0.26	0.26	0.26	0.18	0.26	0.26	0.26	0.26	0.26	0.26	0.77
0.26	0.26	0.26	0.26	1.89	0.26	0.26	0.26	0.26	0.26	0.26	0.59
0.26	0.26	0.26	0.26	0.75	0.26	0.26	0.26	0.26	0.26	0.26	0.2
0.26	0.26	0.26	0.26	0.69	0.26	0.26	0.26	0.26	0.26	0.26	0.26
0.26	0.26	0.26	0.26	0.05	0.26	0.26	0.26	0.26	0.26	0.26	0.47
0.26	0.26	0.26	0.26	1.01	0.26	0.26	0.26	0.26	0.26	0.26	2.31
0.26	0.26	0.26	0.26	0.18	0.26	0.26	0.26	0.26	0.26	0.26	0.75
0.27	0.27	0.27	0.27	1.31	0.27	0.27	0.27	0.27	0.27	0.27	0.11
0.27	0.27	0.27	0.27	1.01	0.27	0.27	0.27	0.27	0.27	0.27	0.68
0.27	0.27	0.27	0.27	0.88	0.27	0.27	0.27	0.27	0.27	0.27	0.79
0.27	0.27	0.27	0.27	0.16	0.27	0.27	0.27	0.27	0.27	0.27	1.18
0.27	0.27	0.27	0.27	0.35	0.27	0.27	0.27	0.27	0.27	0.27	1.52
0.27	0.27	0.27	0.27	1.65	0.27	0.27	0.27	0.27	0.27	0.27	0.21
0.27	0.27	0.27	0.27	1.27	0.27	0.27	0.27	0.27	0.27	0.27	2.68
0.27	0.27	0.27	0.27	0.11	0.27	0.27	0.27	0.27	0.27	0.27	1.22
0.27	0.27	0.27	0.27	0.08	0.27	0.27	0.27	0.27	0.27	0.27	0.3
0.27	0.27	0.27	0.27	0.56	0.27	0.27	0.27	0.27	0.27	0.27	1.4
0.28	0.28	0.28	0.28	0.5	0.28	0.28	0.28	0.28	0.28	0.28	0.49
0.28	0.28	0.28	0.28	0.33	0.28	0.28	0.28	0.28	0.28	0.28	2.05
0.28	0.28	0.28	0.28	0.45	0.28	0.28	0.28	0.28	0.28	0.28	1.87
0.28	0.28	0.28	0.28	1.07	0.28	0.28	0.28	0.28	0.28	0.28	1.82
0.28	0.28	0.28	0.28	0.55	0.28	0.28	0.28	0.28	0.28	0.28	4.71
0.28	0.28	0.28	0.28	0.7	0.28	0.28	0.28	0.28	0.28	0.28	1.75
0.28	0.28	0.28	0.28	3.08	0.28	0.28	0.28	0.28	0.28	0.28	0.31
0.28	0.28	0.28	0.28	0	0.28	0.28	0.28	0.28	0.28	0.28	0.07
0.28	0.28	0.28	0.28	0.64	0.28	0.28	0.28	0.28	0.28	0.28	1.75
0.28	0.28	0.28	0.28	0.12	0.28	0.28	0.28	0.28	0.28	0.28	0.79
0.29	0.29	0.29	0.29	0.21	0.29	0.29	0.29	0.29	0.29	0.29	0.8
0.29	0.29	0.29	0.29	0.22	0.29	0.29	0.29	0.29	0.29	0.29	1.18
0.29	0.29	0.29	0.29	0.42	0.29	0.29	0.29	0.29	0.29	0.29	0.86
0.29	0.29	0.29	0.29	0.69	0.29	0.29	0.29	0.29	0.29	0.29	0.62
0.29	0.29	0.29	0.29	0.75	0.29	0.29	0.29	0.29	0.29	0.29	2.48
0.29	0.29	0.29	0.29	2	0.29	0.29	0.29	0.29	0.29	0.29	0.05
0.29	0.29	0.29	0.29	0.79	0.29	0.29	0.29	0.29	0.29	0.29	0.88
